aglomerado,provincia_completa,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
2,buenos_aires,1,53,5,,4,3,1,1,0,4166.67,S,1.0275008322750083,0
2,buenos_aires,2,85,5,,1,3,6,1,0,4166.67,S,1.0275008322750083,0
2,buenos_aires,1,18,5,,5,3,3,1,0,4166.67,S,1.0275008322750083,0
2,buenos_aires,1,23,1,30.0,4,1,1,1,3,6666.67,S,1.6440008384400084,0
2,buenos_aires,2,22,1,30.0,4,1,2,1,3,6666.67,S,1.6440008384400084,0
2,buenos_aires,1,1,5,,7,4,3,3,0,6666.67,S,1.6440008384400084,0
2,buenos_aires,1,69,2,,5,3,1,1,0,21600.0,S,5.326560053265601,0
2,buenos_aires,2,67,2,,3,3,2,1,0,21600.0,S,5.326560053265601,0
2,buenos_aires,2,74,2,,4,3,1,1,0,4300.0,S,1.0603800106038002,0
2,buenos_aires,1,71,2,,4,3,2,1,0,4300.0,S,1.0603800106038002,0
2,buenos_aires,1,76,4,,4,3,1,1,0,10000.0,S,2.46600002466,0
2,buenos_aires,2,47,3,40.0,6,1,1,1,3,6750.0,S,1.6645500166455,0
2,buenos_aires,2,16,5,,3,3,3,1,0,6750.0,S,1.6645500166455,0
2,buenos_aires,1,13,5,,3,3,3,1,0,6750.0,S,1.6645500166455,0
2,buenos_aires,1,9,5,,1,4,3,1,0,6750.0,S,1.6645500166455,0
2,buenos_aires,2,72,4,,3,3,1,1,0,7200.0,S,1.7755200177552002,0
2,buenos_aires,1,71,2,,4,3,1,1,0,12375.0,S,3.0516750305167504,0
2,buenos_aires,2,63,2,,4,3,2,1,0,12375.0,S,3.0516750305167504,0
2,buenos_aires,2,29,1,30.0,5,1,3,1,3,12375.0,S,3.0516750305167504,0
2,buenos_aires,1,27,1,,5,2,4,1,0,12375.0,S,3.0516750305167504,0
2,buenos_aires,2,70,4,,2,3,1,1,0,18333.33,S,4.5209992232099925,0
2,buenos_aires,1,35,1,40.0,4,1,3,1,3,18333.33,S,4.5209992232099925,0
2,buenos_aires,2,33,1,24.0,5,1,4,1,2,18333.33,S,4.5209992232099925,0
2,buenos_aires,1,37,2,30.0,6,1,1,1,1,11600.0,S,2.8605600286056,0
2,buenos_aires,2,37,2,35.0,6,1,2,1,3,11600.0,S,2.8605600286056,0
2,buenos_aires,2,7,5,,1,4,3,1,0,11600.0,S,2.8605600286056,0
2,buenos_aires,2,51,2,30.0,2,1,1,1,3,15000.0,S,3.6990000369900002,0
2,buenos_aires,1,56,2,36.0,2,1,2,1,3,15000.0,S,3.6990000369900002,0
2,buenos_aires,1,33,5,48.0,4,1,1,1,3,25500.0,S,6.288300062883001,0
2,buenos_aires,2,36,1,40.0,6,1,1,1,3,12500.0,S,3.0825000308250003,0
2,buenos_aires,1,34,1,48.0,6,1,2,1,3,12500.0,S,3.0825000308250003,0
2,buenos_aires,1,6,5,,1,4,3,1,0,12500.0,S,3.0825000308250003,0
2,buenos_aires,2,42,1,,3,3,1,1,0,1720.0,S,0.42415200424152005,1
2,buenos_aires,1,45,1,54.0,5,1,2,1,2,1720.0,S,0.42415200424152005,1
2,buenos_aires,1,14,5,,3,3,3,1,0,1720.0,S,0.42415200424152005,1
2,buenos_aires,1,8,5,,1,4,3,1,0,1720.0,S,0.42415200424152005,1
2,buenos_aires,2,6,5,,1,4,3,1,0,1720.0,S,0.42415200424152005,1
2,buenos_aires,2,73,4,,4,3,1,1,0,1500.0,S,0.369900003699,1
2,buenos_aires,2,21,1,40.0,4,1,1,1,3,12500.0,S,3.0825000308250003,0
2,buenos_aires,1,24,1,40.0,4,1,2,1,3,12500.0,S,3.0825000308250003,0
2,buenos_aires,2,72,3,,3,3,1,1,0,6000.0,S,1.479600014796,0
2,buenos_aires,2,41,1,14.0,4,1,1,1,3,7750.0,S,1.9111500191115,0
2,buenos_aires,1,44,1,44.0,4,1,2,1,3,7750.0,S,1.9111500191115,0
2,buenos_aires,2,16,5,,3,3,3,1,0,7750.0,S,1.9111500191115,0
2,buenos_aires,1,19,5,,5,3,3,1,0,7750.0,S,1.9111500191115,0
2,buenos_aires,1,32,5,24.0,6,1,1,1,3,22000.0,S,5.4252000542520005,0
2,buenos_aires,2,4,5,,7,4,3,2,0,11600.0,S,2.8605600286056,0
2,buenos_aires,2,3,5,,7,4,3,2,0,11600.0,S,2.8605600286056,0
2,buenos_aires,2,47,2,36.0,4,1,1,1,3,8500.0,S,2.0961000209610003,0
2,buenos_aires,1,49,2,65.0,2,1,2,1,3,8500.0,S,2.0961000209610003,0
2,buenos_aires,1,21,5,,5,3,3,1,0,8500.0,S,2.0961000209610003,0
2,buenos_aires,2,18,5,,5,3,3,1,0,8500.0,S,2.0961000209610003,0
2,buenos_aires,1,30,5,20.0,5,1,1,1,2,8833.33,S,2.178299199782992,0
2,buenos_aires,2,28,5,36.0,4,1,8,1,3,8833.33,S,2.178299199782992,0
2,buenos_aires,1,31,5,30.0,5,1,8,1,3,8833.33,S,2.178299199782992,0
2,buenos_aires,1,72,2,78.0,2,1,1,1,1,15000.0,S,3.6990000369900002,0
2,buenos_aires,2,68,2,78.0,4,1,2,1,1,15000.0,S,3.6990000369900002,0
2,buenos_aires,2,54,2,30.0,6,1,1,1,3,7125.0,S,1.7570250175702502,0
