provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,42,1.0,40.0,3,1,1,1.0,3.0,5640.0,S,1.3908240139082402,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,41,1.0,20.0,4,1,2,1.0,3.0,5640.0,S,1.3908240139082402,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,24,5.0,,3,2,3,1.0,3.0,5640.0,S,1.3908240139082402,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,20,5.0,24.0,3,1,3,1.0,3.0,5640.0,S,1.3908240139082402,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,5,5.0,,7,4,5,2.0,,5640.0,S,1.3908240139082402,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,39,5.0,30.0,2,1,1,1.0,3.0,4800.0,S,1.1836800118368,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,21,5.0,,4,3,3,1.0,,4800.0,S,1.1836800118368,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,11,5.0,,1,3,3,1.0,,4800.0,S,1.1836800118368,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,73,4.0,,2,3,6,1.0,,4800.0,S,1.1836800118368,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,76,2.0,,2,3,1,1.0,,5500.0,S,1.356300013563,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,76,2.0,,4,3,2,1.0,,5500.0,S,1.356300013563,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,78,2.0,,3,3,1,1.0,,4000.0,S,0.986400009864,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,77,2.0,,4,3,2,1.0,,4000.0,S,0.986400009864,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,80,4.0,,6,3,1,1.0,,16500.0,S,4.068900040689,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,22,5.0,,5,3,5,1.0,,16500.0,S,4.068900040689,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,87,4.0,,6,3,1,1.0,,49000.0,S,12.083400120834002,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,86,4.0,,6,3,1,1.0,,37000.0,S,9.124200091242,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,38,5.0,20.0,5,1,1,1.0,3.0,7750.0,S,1.9111500191115,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,4,5.0,,1,4,3,2.0,,7750.0,S,1.9111500191115,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,40,2.0,24.0,6,1,1,1.0,3.0,16600.0,S,4.0935600409356,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,47,2.0,24.0,6,1,2,1.0,3.0,16600.0,S,4.0935600409356,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,6,5.0,,1,4,3,1.0,,16600.0,S,4.0935600409356,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,4,5.0,,7,4,3,2.0,,16600.0,S,4.0935600409356,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,2,5.0,,7,4,3,2.0,,16600.0,S,4.0935600409356,0
