ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7,intercepto
44.0,1.0,24.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
44.0,1.0,8.0,1.0,2,1.0,2.0,True,True,False,False,False,False,False,0
74.0,4.0,36.0,3.0,1,1.0,2.0,True,False,True,False,False,False,False,0
76.0,2.0,36.0,3.0,1,1.0,2.0,False,False,False,False,False,False,False,0
71.0,2.0,84.0,1.0,2,1.0,2.0,True,True,False,False,False,False,False,0
27.0,5.0,48.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
84.0,4.0,36.0,3.0,1,1.0,2.0,False,True,False,False,False,False,False,0
36.0,4.0,20.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
87.0,4.0,36.0,3.0,1,1.0,2.0,True,True,False,False,False,False,False,0
22.0,2.0,36.0,2.0,2,1.0,2.0,True,False,False,True,False,False,False,0
3.0,5.0,36.0,4.0,3,2.0,1.0,True,False,False,False,False,False,True,0
21.0,2.0,24.0,1.0,1,1.0,1.0,False,False,False,False,True,False,False,0
73.0,5.0,36.0,3.0,1,1.0,2.0,True,False,False,False,False,True,False,0
66.0,5.0,36.0,3.0,1,1.0,2.0,True,False,False,False,False,False,False,0
10.0,5.0,36.0,3.0,5,1.0,1.0,False,False,False,False,False,False,False,0
80.0,4.0,36.0,3.0,1,1.0,2.0,True,True,False,False,False,False,False,0
16.0,5.0,36.0,3.0,3,1.0,1.0,False,False,True,False,False,False,False,0
73.0,3.0,72.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
52.0,5.0,30.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
23.0,5.0,20.0,1.0,3,1.0,1.0,False,False,False,False,True,False,False,0
32.0,5.0,40.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
24.0,5.0,16.0,1.0,1,1.0,1.0,True,False,False,False,True,False,False,0
23.0,5.0,36.0,3.0,8,1.0,1.0,True,False,False,False,True,False,False,0
21.0,1.0,48.0,1.0,2,1.0,2.0,True,False,False,True,False,False,False,0
22.0,5.0,36.0,2.0,1,1.0,2.0,True,False,False,False,False,True,False,0
46.0,2.0,25.0,1.0,1,1.0,2.0,True,False,False,False,False,True,False,0
48.0,2.0,30.0,1.0,2,1.0,2.0,False,False,False,False,False,True,False,0
17.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
24.0,5.0,36.0,3.0,3,2.0,1.0,False,False,False,False,False,False,False,0
14.0,5.0,36.0,3.0,3,1.0,1.0,False,False,True,False,False,False,False,0
12.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,False,False,False,0
26.0,5.0,40.0,1.0,8,1.0,1.0,True,False,False,False,True,False,False,0
28.0,5.0,48.0,1.0,1,1.0,1.0,True,False,True,False,False,False,False,0
55.0,3.0,36.0,1.0,6,1.0,2.0,True,False,True,False,False,False,False,0
18.0,5.0,36.0,3.0,8,1.0,1.0,True,False,True,False,False,False,False,0
11.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,False,False,False,0
7.0,5.0,36.0,4.0,3,1.0,1.0,False,False,False,False,False,False,False,0
72.0,1.0,10.0,1.0,1,1.0,2.0,True,True,False,False,False,False,False,0
