ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
26.0,1.0,36.0,1.0,2,1.0,2.0,0,True,False,False,True,False,False,False
6.0,5.0,36.0,4.0,3,1.0,1.0,0,True,False,False,False,False,False,False
39.0,5.0,32.0,1.0,1,1.0,2.0,0,False,True,False,False,False,False,False
49.0,3.0,30.0,1.0,1,1.0,2.0,0,False,False,False,True,False,False,False
70.0,4.0,36.0,3.0,6,1.0,2.0,0,True,True,False,False,False,False,False
31.0,5.0,30.0,1.0,3,1.0,2.0,0,False,False,False,True,False,False,False
25.0,5.0,30.0,1.0,3,1.0,2.0,0,False,False,False,True,False,False,False
20.0,5.0,27.0,1.0,3,1.0,2.0,0,False,False,False,True,False,False,False
24.0,1.0,28.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
24.0,1.0,48.0,1.0,2,1.0,2.0,0,False,False,False,True,False,False,False
69.0,2.0,36.0,3.0,1,1.0,2.0,0,True,True,False,False,False,False,False
75.0,2.0,30.0,1.0,2,1.0,2.0,0,False,True,False,False,False,False,False
43.0,5.0,30.0,1.0,1,1.0,2.0,0,True,False,False,False,False,True,False
16.0,5.0,36.0,3.0,3,1.0,1.0,0,True,False,True,False,False,False,False
72.0,5.0,36.0,3.0,1,1.0,2.0,0,True,False,False,True,False,False,False
76.0,2.0,36.0,3.0,1,1.0,2.0,0,False,False,True,False,False,False,False
68.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,False,True,False,False
41.0,5.0,18.0,1.0,3,1.0,2.0,0,True,False,False,False,True,False,False
2.0,5.0,36.0,4.0,5,2.0,3.0,0,True,False,False,False,False,False,True
45.0,5.0,24.0,1.0,3,1.0,2.0,0,True,False,True,False,False,False,False
73.0,4.0,24.0,1.0,1,1.0,2.0,0,True,False,False,True,False,False,False
47.0,5.0,30.0,1.0,3,1.0,2.0,0,False,False,False,True,False,False,False
50.0,5.0,35.0,1.0,3,1.0,1.0,0,False,False,False,False,True,False,False
96.0,2.0,36.0,3.0,1,1.0,2.0,0,False,False,False,False,False,True,False
86.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,False,False,True,False
57.0,2.0,36.0,2.0,1,1.0,2.0,1,False,True,False,False,False,False,False
41.0,1.0,14.0,1.0,1,1.0,2.0,0,True,False,False,False,True,False,False
46.0,1.0,6.0,1.0,2,1.0,2.0,0,False,False,False,False,True,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,0,False,False,False,False,False,False,True
3.0,5.0,36.0,4.0,3,2.0,1.0,0,False,False,False,False,False,False,True
61.0,2.0,45.0,1.0,1,1.0,2.0,0,False,False,False,False,False,True,False
60.0,2.0,45.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
29.0,5.0,45.0,1.0,3,1.0,2.0,0,False,False,False,False,False,True,False
37.0,1.0,36.0,3.0,1,1.0,2.0,1,True,True,False,False,False,False,False
14.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
12.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,True,False,False,False,False
33.0,1.0,40.0,1.0,2,1.0,2.0,1,False,False,True,False,False,False,False
8.0,5.0,36.0,4.0,5,1.0,1.0,1,False,False,False,False,False,False,False
