provincia_completa,anio,trimestre,empleo_prom_trimestre,salario_prom_trimestre,provincia_tratada
formosa,2019,4,805.5238095238095,38881.15980952381,1
formosa,2020,1,787.4166666666666,38306.24258333333,1
formosa,2020,2,751.9655172413793,45223.14706896552,1
formosa,2020,3,751.2068965517242,41377.92928735632,1
formosa,2020,4,758.4137931034483,54927.17627586207,1
formosa,2021,1,779.5632183908046,51805.49286206896,1
formosa,2021,2,792.3103448275862,66125.03811494252,1
formosa,2021,3,820.8604651162791,65816.5933372093,1
formosa,2021,4,854.9761904761905,86772.66722619048,1
jujuy,2015,1,1094.2530864197531,8814.700383333333,0
jujuy,2015,2,997.9166666666666,10338.642537179487,0
jujuy,2015,3,1004.0377358490566,10088.305216352202,0
jujuy,2015,4,1056.6583850931677,12173.7009310559,0
jujuy,2016,1,1075.5403726708075,11208.31892484472,0
jujuy,2016,2,948.3067484662577,13590.370944785276,0
jujuy,2016,3,1004.44375,13182.626039375002,0
jujuy,2016,4,1095.03125,16695.877825625,1
jujuy,2017,1,1102.612121212121,15693.758296363638,1
jujuy,2017,2,996.8616352201258,18540.291172955975,1
jujuy,2017,3,1030.5617283950617,17221.022419753088,1
jujuy,2017,4,1124.8711656441717,20613.352932515336,1
jujuy,2018,1,1114.5988023952095,18998.29315269461,1
jujuy,2018,2,1024.6707317073171,22643.636008536585,1
jujuy,2018,3,1078.462962962963,21700.558001234567,1
jujuy,2018,4,1202.2848101265822,27442.162298101266,1
jujuy,2019,1,1224.1644736842106,27204.312690131577,1
jujuy,2019,2,1086.888888888889,33447.17322941177,1
jujuy,2019,3,1141.4901960784314,32461.483823529416,1
jujuy,2019,4,1159.4050632911392,41628.12779113924,1
jujuy,2020,1,1171.4358974358975,41498.94817948718,1
jujuy,2020,2,1025.9102564102564,47154.260698717946,1
jujuy,2020,3,1056.045751633987,42929.75554248366,1
jujuy,2020,4,1114.0915032679738,55937.493111111115,1
jujuy,2021,1,1115.875816993464,54557.15269934641,1
jujuy,2021,2,1055.5294117647059,67001.17944444444,1
jujuy,2021,3,1112.9411764705883,66579.73298692811,1
jujuy,2021,4,1179.2091503267975,85641.04338562091,1
la_pampa,2015,1,377.6629213483146,10890.52527340824,0
la_pampa,2015,2,384.25468164794006,12863.497230337078,0
la_pampa,2015,3,389.5864661654135,12029.62870150376,0
